Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,9327641.38,334246.93,1184576.40,5527,0,7427,0,7196,0,691,0,39,0.6618592697827443,7188
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,15330209.70,348805.37,113210.00,4133,0,2181,0,5571,0,1356,0,52,0.9217592061243858,11412
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,3000327.36,103655.02,12170.00,992,0,2595,0,1102,0,133,0,8,0.47845527896569856,1248
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,9385695.01,3736064.86,4144014.00,3102,0,1310,0,5068,0,1165,0,33,0.9335247352264399,12192
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,6386736.75,1585200.40,3294213.00,2092,0,1395,0,2968,0,571,0,48,0.42959811700419703,11352
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2729471.76,604247.71,1319369.00,1260,0,1408,0,1810,0,322,0,9,0.8840580984450643,2640
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,1257753.17,556708.58,273330.89,491,0,319,0,626,0,186,0,23,0.8256715743101364,1752
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,835565.12,490124.81,375555.10,435,0,272,0,646,0,248,0,21,0.9328271386044504,2496
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1271568.41,329964.59,383319.60,398,0,181,0,550,0,251,0,20,0.8632086312828612,1608
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,12016684.99,0.00,0,3857,0,1990,0,5422,0,1643,47,0.9654654891985779,15816
